"","X","line","movie"
"141",141,"             But while popular around the globe,","Bohemian Rhapsody"
"142",142,"             not everyone approved of the man, who","Bohemian Rhapsody"
"143",143,"             became synonymous with excess...","Bohemian Rhapsody"
"144",144,"                                                          3.","Bohemian Rhapsody"
"145",145,"","Bohemian Rhapsody"
"146",146,"","Bohemian Rhapsody"
"147",147,"INT. BRIAN’S HOUSE/ KENSINGTON/ LONDON - DAY","Bohemian Rhapsody"
"148",148,"","Bohemian Rhapsody"
"149",149,"A RINGING TELEPHONE.","Bohemian Rhapsody"
"150",150,"","Bohemian Rhapsody"
"151",151,"    CAPTION:        LONDON, 1991","Bohemian Rhapsody"
"152",152,"","Bohemian Rhapsody"
"153",153,"Enter BRIAN MAY (44). He crosses to the TELEPHONE...","Bohemian Rhapsody"
"154",154,"","Bohemian Rhapsody"
"155",155,"(INTERCUT as NECESSARY with - )","Bohemian Rhapsody"
"156",156,"","Bohemian Rhapsody"
"157",157,"","Bohemian Rhapsody"
"158",158,"INT. ROGER TAYLOR’S KITCHEN/ LONDON - MORNING","Bohemian Rhapsody"
"159",159,"","Bohemian Rhapsody"
"160",160,"...ROGER TAYLOR (42) holding a TELEPHONE in one hand, reads","Bohemian Rhapsody"
"161",161,"from the DAILY MIRROR...","Bohemian Rhapsody"
"162",162,"","Bohemian Rhapsody"
"163",163,"                          ROGER","Bohemian Rhapsody"
"164",164,"            “a man--bent--on abnormal pleasures,","Bohemian Rhapsody"
"165",165,"            corrupt, corrupting--his life a","Bohemian Rhapsody"
"166",166,"            revolting tale of depravity, lust","Bohemian Rhapsody"
"167",167,"            and wickedness...”","Bohemian Rhapsody"
"168",168,"","Bohemian Rhapsody"
"169",169,"                         BRIAN","Bohemian Rhapsody"
"170",170,"            No.","Bohemian Rhapsody"
"171",171,"","Bohemian Rhapsody"
"172",172,"                          ROGER","Bohemian Rhapsody"
"173",173,"            “...for his kind his death--was a","Bohemian Rhapsody"
"174",174,"            suicide.”   Bastards.","Bohemian Rhapsody"
"175",175,"","Bohemian Rhapsody"
"176",176,"Silence -","Bohemian Rhapsody"
"177",177,"","Bohemian Rhapsody"
"178",178,"                          BRIAN","Bohemian Rhapsody"
"179",179,"            What do you want to do?","Bohemian Rhapsody"
"180",180,"","Bohemian Rhapsody"
"181",181,"","Bohemian Rhapsody"
"182",182,"INT. BREAKFAST TV SHOW - DAY","Bohemian Rhapsody"
"183",183,"","Bohemian Rhapsody"
"184",184,"The grieving BRIAN and ROGER on a couch, face an arrogant","Bohemian Rhapsody"
"185",185,"MALE TV INTERVIEWER. We are live -","Bohemian Rhapsody"
"186",186,"","Bohemian Rhapsody"
"187",187,"                          INTERVIEWER","Bohemian Rhapsody"
"188",188,"            Last week saw the death of one of the","Bohemian Rhapsody"
"189",189,"            most flamboyant and popular figures in","Bohemian Rhapsody"
"190",190,"            rock-music--Freddie Mercury, lead","Bohemian Rhapsody"
"191",191,"            singer with Queen. Joining us in the","Bohemian Rhapsody"
"192",192,"            studio to pay tribute and maybe","Bohemian Rhapsody"
"193",193,"            reflect on Freddie’s memory for the","Bohemian Rhapsody"
"194",194,"            first time: two of the band members:","Bohemian Rhapsody"
"195",195,"            guitarist Brian May & drummer Roger","Bohemian Rhapsody"
"196",196,"            Taylor--thanks for coming. So--","Bohemian Rhapsody"
"197",197,"            the commentators have all had their","Bohemian Rhapsody"
"198",198,"            say about Freddie, haven’t they?","Bohemian Rhapsody"
"199",199,"","Bohemian Rhapsody"
"200",200,"","Bohemian Rhapsody"
"201",201,"","Bohemian Rhapsody"
"202",202,"                                                   (CONTINUED)","Bohemian Rhapsody"
"203",203,"                                                           4.","Bohemian Rhapsody"
"204",204,"CONTINUED:","Bohemian Rhapsody"
"205",205,"","Bohemian Rhapsody"
"206",206,"For ROGER and BRIAN, so full of emotion, the words don’t","Bohemian Rhapsody"
"207",207,"come easily...","Bohemian Rhapsody"
"208",208,"","Bohemian Rhapsody"
"209",209,"                           ROGER","Bohemian Rhapsody"
"210",210,"             What we feel is--our friend is barely","Bohemian Rhapsody"
"211",211,"             in his grave--all he ever did was try","Bohemian Rhapsody"
"212",212,"             to entertain people--and some people","Bohemian Rhapsody"
"213",213,"             are saying “good”, “good riddance”,","Bohemian Rhapsody"
"214",214,"             “he deserved it.” It’s disgusting.","Bohemian Rhapsody"
"215",215,"             Because he was actually -","Bohemian Rhapsody"
"216",216,"","Bohemian Rhapsody"
"217",217,"                           MALE INTERVIEWER","Bohemian Rhapsody"
"218",218,"                  (cutting him off)","Bohemian Rhapsody"
"219",219,"             (Yes, I mean) it would be wrong not to","Bohemian Rhapsody"
"220",220,"             say that he has been depicted in","Bohemian Rhapsody"
"221",221,"             certain quarters as a sort of","Bohemian Rhapsody"
"222",222,"             decadent, wild, bisexual,","Bohemian Rhapsody"
"223",223,"             irresponsible lover.","Bohemian Rhapsody"
"224",224,"","Bohemian Rhapsody"
"225",225,"                           ROGER","Bohemian Rhapsody"
"226",226,"             We’re here to stick up for him, coz","Bohemian Rhapsody"
"227",227,"             he can’t stick up for himself.","Bohemian Rhapsody"
"228",228,"","Bohemian Rhapsody"
"229",229,"                           MALE INTERVIEWER","Bohemian Rhapsody"
"230",230,"             But what was the truth of that?","Bohemian Rhapsody"
"231",231,"","Bohemian Rhapsody"
"232",232,"                          BRIAN","Bohemian Rhapsody"
"233",233,"             Of what?","Bohemian Rhapsody"
"234",234,"","Bohemian Rhapsody"
"235",235,"                           MALE INTERVIEWER","Bohemian Rhapsody"
"236",236,"             Was he decadent, irresponsible? When","Bohemian Rhapsody"
"237",237,"             you hear the stories -","Bohemian Rhapsody"
"238",238,"","Bohemian Rhapsody"
"239",239,"                           BRIAN","Bohemian Rhapsody"
"240",240,"                  (reacting)","Bohemian Rhapsody"
"241",241,"             Did he deserve to die, you mean? Is","Bohemian Rhapsody"
"242",242,"             that the question?","Bohemian Rhapsody"
"243",243,"","Bohemian Rhapsody"
"244",244,"                           MALE INTERVIEWER","Bohemian Rhapsody"
"245",245,"             But it’s interesting isn’t it, that -","Bohemian Rhapsody"
"246",246,"","Bohemian Rhapsody"
"247",247,"                           ROGER","Bohemian Rhapsody"
"248",248,"             He was a victim of an epidemic. A","Bohemian Rhapsody"
"249",249,"             plague. We lost a great artist.","Bohemian Rhapsody"
"250",250,"","Bohemian Rhapsody"
"251",251,"                           BRIAN","Bohemian Rhapsody"
"252",252,"             And a magnificent human being.","Bohemian Rhapsody"
"253",253,"","Bohemian Rhapsody"
"254",254,"                           MALE INTERVIEWER","Bohemian Rhapsody"
"255",255,"             And why do you think, then, some","Bohemian Rhapsody"
"256",256,"             people are -","Bohemian Rhapsody"
"257",257,"","Bohemian Rhapsody"
"258",258,"","Bohemian Rhapsody"
"259",259,"","Bohemian Rhapsody"
"260",260,"","Bohemian Rhapsody"
"261",261,"                                                    (CONTINUED)","Bohemian Rhapsody"
"262",262,"                                                         5.","Bohemian Rhapsody"
"263",263,"CONTINUED: (2)","Bohemian Rhapsody"
"264",264,"","Bohemian Rhapsody"
"265",265,"                         ROGER","Bohemian Rhapsody"
"266",266,"           - Newspapers - let’s be clear -","Bohemian Rhapsody"
"267",267,"","Bohemian Rhapsody"
"268",268,"                         MALE INTERVIEWER","Bohemian Rhapsody"
"269",269,"           - newspapers--the media--have reacted","Bohemian Rhapsody"
"270",270,"           in this way? Is it perhaps because -","Bohemian Rhapsody"
"271",271,"","Bohemian Rhapsody"
"272",272,"                         ROGER","Bohemian Rhapsody"
"273",273,"           Because they have no shame. They want","Bohemian Rhapsody"
"274",274,"           to sell papers. They don’t know who","Bohemian Rhapsody"
"275",275,"           he was.","Bohemian Rhapsody"
"276",276,"","Bohemian Rhapsody"
"277",277,"                         MALE INTERVIEWER","Bohemian Rhapsody"
"278",278,"           - because Freddie became a symbol for","Bohemian Rhapsody"
"279",279,"           a certain sort of life-style, didn’t","Bohemian Rhapsody"
"280",280,"           he? A manifesto of hedonistic freedom.","Bohemian Rhapsody"
"281",281,"","Bohemian Rhapsody"
"282",282,"BRIAN and ROGER now start to become furious with this guy -","Bohemian Rhapsody"
"283",283,"","Bohemian Rhapsody"
"284",284,"                         BRIAN","Bohemian Rhapsody"
"285",285,"           Did he? I don’t know that.","Bohemian Rhapsody"
"286",286,"","Bohemian Rhapsody"
"287",287,"                         ROGER","Bohemian Rhapsody"
"288",288,"           You asked us on this program so we","Bohemian Rhapsody"
"289",289,"           could talk about our friend. We","Bohemian Rhapsody"
"290",290,"           agreed that -","Bohemian Rhapsody"
"291",291,"","Bohemian Rhapsody"
"292",292,"                         MALE INTERVIEWER","Bohemian Rhapsody"
"293",293,"           Well let’s talk about you then, the","Bohemian Rhapsody"
"294",294,"           band. What will you do now? Will you","Bohemian Rhapsody"
"295",295,"           go on, or disband?","Bohemian Rhapsody"
"296",296,"","Bohemian Rhapsody"
"297",297,"                         ROGER","Bohemian Rhapsody"
"298",298,"           It’s too soon--it’s been three days","Bohemian Rhapsody"
"299",299,"           --we were together 22 years. We’re","Bohemian Rhapsody"
"300",300,"           in shock, I think.","Bohemian Rhapsody"
"301",301,"","Bohemian Rhapsody"
"302",302,"                         BRIAN","Bohemian Rhapsody"
"303",303,"           Yes.","Bohemian Rhapsody"
"304",304,"","Bohemian Rhapsody"
"305",305,"                         MALE INTERVIEWER","Bohemian Rhapsody"
"306",306,"           Because also, well, Freddie wrote","Bohemian Rhapsody"
"307",307,"           most of your hits--didn’t he?","Bohemian Rhapsody"
"308",308,"","Bohemian Rhapsody"
"309",309,"This comments stuns BRIAN and ROGER -","Bohemian Rhapsody"
"310",310,"","Bohemian Rhapsody"
"311",311,"                         ROGER","Bohemian Rhapsody"
"312",312,"                (to BRIAN)","Bohemian Rhapsody"
"313",313,"           Did he? Oh.","Bohemian Rhapsody"
"314",314,"","Bohemian Rhapsody"
"315",315,"                         BRIAN","Bohemian Rhapsody"
"316",316,"           Oh so Freddie wrote: “We Will Rock","Bohemian Rhapsody"
"317",317,"           You”--did he?","Bohemian Rhapsody"
"318",318,"","Bohemian Rhapsody"
"319",319,"","Bohemian Rhapsody"
"320",320,"                                                  (CONTINUED)","Bohemian Rhapsody"
"321",321,"                                                          6.","Bohemian Rhapsody"
"322",322,"CONTINUED: (3)","Bohemian Rhapsody"
"323",323,"","Bohemian Rhapsody"
"324",324,"                         ROGER","Bohemian Rhapsody"
"325",325,"           “A Kind of Magic”? Coz I thought -","Bohemian Rhapsody"
"326",326,"","Bohemian Rhapsody"
"327",327,"                         BRIAN","Bohemian Rhapsody"
"328",328,"           “Radio Gaga”? (Oh I see.)","Bohemian Rhapsody"
"329",329,"","Bohemian Rhapsody"
"330",330,"                         MALE INTERVIEWER","Bohemian Rhapsody"
"331",331,"           (Well let’s just)--just say--a lot","Bohemian Rhapsody"
"332",332,"           of your biggest most popular hits...","Bohemian Rhapsody"
"333",333,"","Bohemian Rhapsody"
"334",334,"Silence, and then -","Bohemian Rhapsody"
"335",335,"","Bohemian Rhapsody"
"336",336,"                         ROGER","Bohemian Rhapsody"
"337",337,"           No. No, let’s say--”let’s just say”","Bohemian Rhapsody"
"338",338,"           this interview is over. Let’s just","Bohemian Rhapsody"
"339",339,"           say that.","Bohemian Rhapsody"
"340",340,"                (to BRIAN)","Bohemian Rhapsody"
"341",341,"           (Shall we, dear?)","Bohemian Rhapsody"
"342",342,"","Bohemian Rhapsody"
"343",343,"BRIAN and ROGER get up and pull off their microphones    -","Bohemian Rhapsody"
"344",344,"","Bohemian Rhapsody"
"345",345,"                         MALE INTERVIEWER","Bohemian Rhapsody"
"346",346,"           (No, no, please), guys, hey, come on -","Bohemian Rhapsody"
"347",347,"","Bohemian Rhapsody"
"348",348,"                         ROGER","Bohemian Rhapsody"
"349",349,"           You’re a dick.","Bohemian Rhapsody"
"350",350,"","Bohemian Rhapsody"
"351",351,"BRIAN and ROGER walk out.","Bohemian Rhapsody"
"352",352,"","Bohemian Rhapsody"
"353",353,"                                             FADE TO BLACK.","Bohemian Rhapsody"
"354",354,"","Bohemian Rhapsody"
"355",355,"","Bohemian Rhapsody"
"356",356,"INT. BRIAN MAY’S RECORDING STUDIO (2016) - NIGHT","Bohemian Rhapsody"
"357",357,"","Bohemian Rhapsody"
"358",358,"The year is now 2016...and in a dimly lit PRIVATE","Bohemian Rhapsody"
"359",359,"STUDIO...full of homely touches (furnishings, books,","Bohemian Rhapsody"
"360",360,"candles, and a telescope, etc) the CAMERA finds... BRIAN","Bohemian Rhapsody"
"361",361,"MAY (69), his back turned to camera, his curly tresses now","Bohemian Rhapsody"
"362",362,"GREY, wearing HEAD-PHONES (CANS), whilst playing his RED","Bohemian Rhapsody"
"363",363,"(”RED SPECIAL”) GUITAR. Only he can hear what he is","Bohemian Rhapsody"
"364",364,"playing...","Bohemian Rhapsody"
"365",365,"","Bohemian Rhapsody"
"366",366,"ANGLE ON: ROGER TAYLOR (67), appearing in the doorway","Bohemian Rhapsody"
"367",367,"behind him...","Bohemian Rhapsody"
"368",368,"","Bohemian Rhapsody"
"369",369,"                            OLDER ROGER","Bohemian Rhapsody"
"370",370,"           Brian? BRI!","Bohemian Rhapsody"
"371",371,"","Bohemian Rhapsody"
"372",372,"But BRIAN can’t hear this...so ROGER throws a CUSHION.","Bohemian Rhapsody"
"373",373,"BRIAN turns, takes off his CANS...","Bohemian Rhapsody"
"374",374,"","Bohemian Rhapsody"
"375",375,"                            OLDER BRIAN","Bohemian Rhapsody"
"376",376,"           Mmmmm?","Bohemian Rhapsody"
"377",377,"","Bohemian Rhapsody"
"378",378,"","Bohemian Rhapsody"
"379",379,"                                                   (CONTINUED)","Bohemian Rhapsody"
"380",380,"                                                          7.","Bohemian Rhapsody"
"381",381,"CONTINUED:","Bohemian Rhapsody"
"382",382,"","Bohemian Rhapsody"
"383",383,"                           OLDER ROGER","Bohemian Rhapsody"
"384",384,"             I’m out of here. See you tomorrow","Bohemian Rhapsody"
"385",385,"             morning. Got some good stuff.","Bohemian Rhapsody"
"386",386,"","Bohemian Rhapsody"
"387",387,"When ROGER departs, BRIAN pulls his HEAD-PHONES back on,","Bohemian Rhapsody"
"388",388,"then walks to an AMPLIFIER, tinkering with the","Bohemian Rhapsody"
"389",389,"knobs...until something catches his eye...","Bohemian Rhapsody"
"390",390,"","Bohemian Rhapsody"
"391",391,"In the doorway now stands a YOUNG MAN (early 20’s), with","Bohemian Rhapsody"
"392",392,"ROGER behind him. BRIAN pulls off the cans...","Bohemian Rhapsody"
"393",393,"","Bohemian Rhapsody"
"394",394,"                           OLDER ROGER","Bohemian Rhapsody"
"395",395,"             Says he’s here for an interview.","Bohemian Rhapsody"
"396",396,"","Bohemian Rhapsody"
"397",397,"                           BLOGGER","Bohemian Rhapsody"
"398",398,"             “BuzzMix Online”? You both agreed","Bohemian Rhapsody"
"399",399,"             to an interview? David Ashcroft.","Bohemian Rhapsody"
"400",400,"","Bohemian Rhapsody"
"401",401,"                          OLDER BRIAN","Bohemian Rhapsody"
"402",402,"             Buzzmix?","Bohemian Rhapsody"
"403",403,"","Bohemian Rhapsody"
"404",404,"                           BLOGGER","Bohemian Rhapsody"
"405",405,"             Twelve million followers.","Bohemian Rhapsody"
"406",406,"","Bohemian Rhapsody"
"407",407,"The BLOGGER holds out his CELL-PHONE to BRIAN - BRIAN looks","Bohemian Rhapsody"
"408",408,"at the PHONE, reading the EMAIL...","Bohemian Rhapsody"
"409",409,"","Bohemian Rhapsody"
"410",410,"                           BLOGGER","Bohemian Rhapsody"
"411",411,"             Email confirmation...7 pm. You","Bohemian Rhapsody"
"412",412,"             were both “looking forward to it.”","Bohemian Rhapsody"
"413",413,"","Bohemian Rhapsody"
"414",414,"BRIAN passes the cell-phone to ROGER to read...","Bohemian Rhapsody"
"415",415,"","Bohemian Rhapsody"
"416",416,"                           OLDER BRIAN","Bohemian Rhapsody"
"417",417,"             ...fucking Jim Beach...","Bohemian Rhapsody"
"418",418,"","Bohemian Rhapsody"
"419",419,"                           BLOGGER","Bohemian Rhapsody"
"420",420,"             And I fly back to the US tomorrow","Bohemian Rhapsody"
"421",421,"             morning, so--this is really the","Bohemian Rhapsody"
"422",422,"             only chance. Kinda--now or never.","Bohemian Rhapsody"
"423",423,"","Bohemian Rhapsody"
"424",424,"                           OLDER ROGER","Bohemian Rhapsody"
"425",425,"             I’m good with never.","Bohemian Rhapsody"
"426",426,"","Bohemian Rhapsody"
"427",427,"                           BLOGGER","Bohemian Rhapsody"
"428",428,"             Ha! So--it’s No? Really? I can’t","Bohemian Rhapsody"
"429",429,"             just get you both--quick interview?","Bohemian Rhapsody"
"430",430,"             Flew 11 hours. Hotel. Cabs...","Bohemian Rhapsody"
"431",431,"","Bohemian Rhapsody"
"432",432,"BRIAN looks to ROGER for his response -","Bohemian Rhapsody"
"433",433,"","Bohemian Rhapsody"
"434",434,"","Bohemian Rhapsody"
"435",435,"","Bohemian Rhapsody"
"436",436,"","Bohemian Rhapsody"
"437",437,"                                                   (CONTINUED)","Bohemian Rhapsody"
"438",438,"                                                        8.","Bohemian Rhapsody"
"439",439,"CONTINUED: (2)","Bohemian Rhapsody"
"440",440,"","Bohemian Rhapsody"
"441",441,"                         OLDER ROGER","Bohemian Rhapsody"
"442",442,"           I’m helluva late already, sorry.","Bohemian Rhapsody"
"443",443,"           Would have loved to, just can’t.","Bohemian Rhapsody"
"444",444,"           Shame, I love interviews.","Bohemian Rhapsody"
"445",445,"","Bohemian Rhapsody"
"446",446,"                         BLOGGER","Bohemian Rhapsody"
"447",447,"           Dr May?","Bohemian Rhapsody"
"448",448,"","Bohemian Rhapsody"
"449",449,"                         OLDER ROGER","Bohemian Rhapsody"
"450",450,"                (to BRIAN)","Bohemian Rhapsody"
"451",451,"           Go on Doctor. Just give him--12","Bohemian Rhapsody"
"452",452,"           minutes--a million people a minute","Bohemian Rhapsody"
"453",453,"           aint bad.","Bohemian Rhapsody"
"454",454,"","Bohemian Rhapsody"
"455",455,"ROGER departs -","Bohemian Rhapsody"
"456",456,"","Bohemian Rhapsody"
"457",457,"                         OLDER BRIAN","Bohemian Rhapsody"
"458",458,"           You give him 12 minutes!","Bohemian Rhapsody"
"459",459,"","Bohemian Rhapsody"
"460",460,"Silence.","Bohemian Rhapsody"
"461",461,"","Bohemian Rhapsody"
"462",462,"                         OLDER BRIAN","Bohemian Rhapsody"
"463",463,"           I’m working. Sorry. No.","Bohemian Rhapsody"
"464",464,"           Can you show yourself out?","Bohemian Rhapsody"
"465",465,"","Bohemian Rhapsody"
"466",466,"                         BLOGGER","Bohemian Rhapsody"
"467",467,"           Wow. Okay. Okay--alright. Jesus.","Bohemian Rhapsody"
"468",468,"           I’ll um--okay...","Bohemian Rhapsody"
"469",469,"","Bohemian Rhapsody"
"470",470,"The BLOGGER starts to go and then stops at the TELESCOPE,","Bohemian Rhapsody"
"471",471,"examining it. BRIAN notices and watches -","Bohemian Rhapsody"
"472",472,"","Bohemian Rhapsody"
"473",473,"                         BLOGGER","Bohemian Rhapsody"
"474",474,"           This is an “Orion”, right?","Bohemian Rhapsody"
"475",475,"","Bohemian Rhapsody"
"476",476,"                         OLDER BRIAN","Bohemian Rhapsody"
"477",477,"                (unimpressed)","Bohemian Rhapsody"
"478",478,"           It’s written on the side.","Bohemian Rhapsody"
